audit_id,file_path,audit_name,category,category_number,subcategory,tier,status,automatable,severity,estimated_duration,requires_runtime,requires_physical_access,requires_human_evaluation,requires_interviews,discovery,prd,task_decomposition,specification,implementation,testing,integration,deployment,post_production
observability-instrumentation.metrics.metric-cardinality,05-observability-instrumentation/metrics/metric-cardinality.yaml,Metric Cardinality Audit,observability-instrumentation,05,metrics,phd,active,partial,high,4 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
observability-instrumentation.metrics.metric-label-design,05-observability-instrumentation/metrics/metric-label-design.yaml,Metric Label Design Audit,observability-instrumentation,05,metrics,expert,active,partial,high,3 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
observability-instrumentation.metrics.metric-naming-convention,05-observability-instrumentation/metrics/metric-naming-convention.yaml,Metric Naming Convention Audit,observability-instrumentation,05,metrics,expert,active,yes,medium,2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
observability-instrumentation.metrics.metric-retention,05-observability-instrumentation/metrics/metric-retention.yaml,Metric Retention Audit,observability-instrumentation,05,metrics,phd,active,partial,medium,3 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
observability-instrumentation.metrics.sli-definition,05-observability-instrumentation/metrics/sli-definition.yaml,SLI Definition Audit,observability-instrumentation,05,metrics,phd,active,partial,critical,4 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
observability-instrumentation.observability-operations.cross-team-observability,05-observability-instrumentation/observability-operations/cross-team-observability.yaml,Cross-Team Observability Audit,observability-instrumentation,05,observability-operations,phd,active,manual,medium,3-4 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
observability-instrumentation.observability-operations.data-pipeline-reliability,05-observability-instrumentation/observability-operations/data-pipeline-reliability.yaml,Data Pipeline Reliability Audit,observability-instrumentation,05,observability-operations,phd,active,partial,critical,3-5 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
observability-instrumentation.observability-operations.observability-as-code,05-observability-instrumentation/observability-operations/observability-as-code.yaml,Observability as Code Audit,observability-instrumentation,05,observability-operations,phd,active,partial,medium,3-5 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
observability-instrumentation.observability-operations.observability-cost,05-observability-instrumentation/observability-operations/observability-cost.yaml,Observability Cost Audit,observability-instrumentation,05,observability-operations,phd,active,partial,high,4-6 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
observability-instrumentation.observability-operations.observability-onboarding,05-observability-instrumentation/observability-operations/observability-onboarding.yaml,Observability Onboarding Audit,observability-instrumentation,05,observability-operations,phd,active,manual,medium,2-3 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
observability-instrumentation.observability-operations.observability-tool-sprawl,05-observability-instrumentation/observability-operations/observability-tool-sprawl.yaml,Observability Tool Sprawl Audit,observability-instrumentation,05,observability-operations,phd,active,partial,medium,3-4 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
observability-instrumentation.observability-operations.opentelemetry-adoption,05-observability-instrumentation/observability-operations/opentelemetry-adoption.yaml,OpenTelemetry Adoption Audit,observability-instrumentation,05,observability-operations,phd,active,partial,medium,4-6 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
observability-instrumentation.visualization-dashboards.capacity-dashboard,05-observability-instrumentation/visualization-dashboards/capacity-dashboard.yaml,Capacity Dashboard Audit,observability-instrumentation,05,visualization-dashboards,expert,active,partial,high,2-3 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
observability-instrumentation.visualization-dashboards.dashboard-accessibility,05-observability-instrumentation/visualization-dashboards/dashboard-accessibility.yaml,Dashboard Accessibility Audit,observability-instrumentation,05,visualization-dashboards,expert,active,partial,medium,2-3 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
observability-instrumentation.visualization-dashboards.dashboard-coverage,05-observability-instrumentation/visualization-dashboards/dashboard-coverage.yaml,Dashboard Coverage Audit,observability-instrumentation,05,visualization-dashboards,expert,active,partial,high,2-3 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
observability-instrumentation.visualization-dashboards.dashboard-performance,05-observability-instrumentation/visualization-dashboards/dashboard-performance.yaml,Dashboard Performance Audit,observability-instrumentation,05,visualization-dashboards,expert,active,partial,medium,2-3 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
observability-instrumentation.visualization-dashboards.executive-dashboard,05-observability-instrumentation/visualization-dashboards/executive-dashboard.yaml,Executive Dashboard Audit,observability-instrumentation,05,visualization-dashboards,expert,active,partial,medium,2-3 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
observability-instrumentation.visualization-dashboards.incident-dashboard,05-observability-instrumentation/visualization-dashboards/incident-dashboard.yaml,Incident Dashboard Audit,observability-instrumentation,05,visualization-dashboards,expert,active,partial,critical,2-3 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
observability-instrumentation.visualization-dashboards.service-health-dashboard,05-observability-instrumentation/visualization-dashboards/service-health-dashboard.yaml,Service Health Dashboard Audit,observability-instrumentation,05,visualization-dashboards,expert,active,partial,high,2-3 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
observability-instrumentation.visualization-dashboards.time-series-visualization,05-observability-instrumentation/visualization-dashboards/time-series-visualization.yaml,Time Series Visualization Audit,observability-instrumentation,05,visualization-dashboards,expert,active,partial,medium,2-3 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
code-quality.code-review.approval-requirements,06-code-quality/code-review/approval-requirements.yaml,Approval Requirements Audit,code-quality,06,code-review,expert,active,full,high,30 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.code-review.automated-review,06-code-quality/code-review/automated-review.yaml,Automated Code Review Audit,code-quality,06,code-review,expert,active,full,medium,45 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.code-review.codeowner-coverage,06-code-quality/code-review/codeowner-coverage.yaml,Code Owner Coverage Audit,code-quality,06,code-review,expert,active,full,medium,30 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.code-review.pr-review-coverage,06-code-quality/code-review/pr-review-coverage.yaml,Pull Request Review Coverage Audit,code-quality,06,code-review,expert,active,full,high,45 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.code-review.review-checklist,06-code-quality/code-review/review-checklist.yaml,Review Checklist Audit,code-quality,06,code-review,expert,active,full,medium,30 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.code-review.review-depth,06-code-quality/code-review/review-depth.yaml,Code Review Depth Audit,code-quality,06,code-review,expert,active,partial,high,45 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.code-review.review-feedback-quality,06-code-quality/code-review/review-feedback-quality.yaml,Review Feedback Quality Audit,code-quality,06,code-review,expert,active,partial,medium,1 hour,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.code-review.review-metrics,06-code-quality/code-review/review-metrics.yaml,Review Metrics Audit,code-quality,06,code-review,expert,active,full,medium,45 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.code-review.review-turnaround-time,06-code-quality/code-review/review-turnaround-time.yaml,Code Review Turnaround Time Audit,code-quality,06,code-review,expert,active,full,medium,30 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.code-review.reviewer-distribution,06-code-quality/code-review/reviewer-distribution.yaml,Reviewer Distribution Audit,code-quality,06,code-review,expert,active,full,medium,30 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.code-smells.data-clump,06-code-quality/code-smells/data-clump.yaml,Data Clump Detection Audit,code-quality,06,code-smells,expert,active,partial,medium,40 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.code-smells.feature-envy,06-code-quality/code-smells/feature-envy.yaml,Feature Envy Detection Audit,code-quality,06,code-smells,expert,active,partial,medium,45 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.code-smells.god-class,06-code-quality/code-smells/god-class.yaml,God Class Detection Audit,code-quality,06,code-smells,expert,active,partial,high,45 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.code-smells.inappropriate-intimacy,06-code-quality/code-smells/inappropriate-intimacy.yaml,Inappropriate Intimacy Detection Audit,code-quality,06,code-smells,expert,active,partial,high,45 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.code-smells.long-parameter-list,06-code-quality/code-smells/long-parameter-list.yaml,Long Parameter List Detection Audit,code-quality,06,code-smells,expert,active,full,medium,30 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.code-smells.primitive-obsession,06-code-quality/code-smells/primitive-obsession.yaml,Primitive Obsession Detection Audit,code-quality,06,code-smells,expert,active,partial,medium,40 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.code-smells.refused-bequest,06-code-quality/code-smells/refused-bequest.yaml,Refused Bequest Detection Audit,code-quality,06,code-smells,expert,active,partial,medium,40 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.code-smells.speculative-generality,06-code-quality/code-smells/speculative-generality.yaml,Speculative Generality Detection Audit,code-quality,06,code-smells,expert,active,partial,medium,40 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.dead-code.commented-out-code,06-code-quality/dead-code/commented-out-code.yaml,Commented-Out Code Detection Audit,code-quality,06,dead-code,expert,active,partial,medium,30 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.dead-code.stale-feature-flag,06-code-quality/dead-code/stale-feature-flag.yaml,Stale Feature Flag Detection Audit,code-quality,06,dead-code,expert,active,partial,high,60 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.dead-code.todo-fixme,06-code-quality/dead-code/todo-fixme.yaml,TODO/FIXME Comment Detection Audit,code-quality,06,dead-code,expert,active,full,medium,25 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.dead-code.unreachable-code,06-code-quality/dead-code/unreachable-code.yaml,Unreachable Code Detection Audit,code-quality,06,dead-code,expert,active,full,high,30 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.dead-code.unused-function-method,06-code-quality/dead-code/unused-function-method.yaml,Unused Function and Method Detection Audit,code-quality,06,dead-code,expert,active,partial,high,45 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.dead-code.unused-import,06-code-quality/dead-code/unused-import.yaml,Unused Import Detection Audit,code-quality,06,dead-code,expert,active,full,medium,20 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.dead-code.unused-variable,06-code-quality/dead-code/unused-variable.yaml,Unused Variable Detection Audit,code-quality,06,dead-code,expert,active,full,medium,25 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.documentation.api-documentation,06-code-quality/documentation/api-documentation.yaml,API Documentation Audit,code-quality,06,documentation,expert,active,partial,high,2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.documentation.architecture-documentation,06-code-quality/documentation/architecture-documentation.yaml,Architecture Documentation Audit,code-quality,06,documentation,expert,active,partial,high,2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.documentation.changelog-maintenance,06-code-quality/documentation/changelog-maintenance.yaml,Changelog Maintenance Audit,code-quality,06,documentation,expert,active,partial,medium,1 hour,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.documentation.code-documentation,06-code-quality/documentation/code-documentation.yaml,Code Documentation Audit,code-quality,06,documentation,expert,active,partial,medium,1.5 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.documentation.documentation-freshness,06-code-quality/documentation/documentation-freshness.yaml,Documentation Freshness Audit,code-quality,06,documentation,expert,active,partial,medium,1.5 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.documentation.onboarding-documentation,06-code-quality/documentation/onboarding-documentation.yaml,Onboarding Documentation Audit,code-quality,06,documentation,expert,active,partial,medium,1.5 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.documentation.readme-quality,06-code-quality/documentation/readme-quality.yaml,README Quality Audit,code-quality,06,documentation,expert,active,partial,medium,45 min,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.documentation.runbook-documentation,06-code-quality/documentation/runbook-documentation.yaml,Runbook Documentation Audit,code-quality,06,documentation,expert,active,partial,high,2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.duplication.abstraction-opportunity,06-code-quality/duplication/abstraction-opportunity.yaml,Abstraction Opportunity Analysis Audit,code-quality,06,duplication,expert,active,partial,medium,45 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.duplication.copy-paste-detection,06-code-quality/duplication/copy-paste-detection.yaml,Copy-Paste Code Detection Audit,code-quality,06,duplication,expert,active,full,high,30 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.duplication.cross-module-duplication,06-code-quality/duplication/cross-module-duplication.yaml,Cross-Module Duplication Audit,code-quality,06,duplication,expert,active,partial,high,40 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.duplication.near-duplicate-code,06-code-quality/duplication/near-duplicate-code.yaml,Near-Duplicate Code Detection Audit,code-quality,06,duplication,expert,active,partial,high,45 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.duplication.test-code-duplication,06-code-quality/duplication/test-code-duplication.yaml,Test Code Duplication Audit,code-quality,06,duplication,expert,active,partial,medium,30 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.error-handling.defensive-programming,06-code-quality/error-handling/defensive-programming.yaml,Defensive Programming Assessment Audit,code-quality,06,error-handling,expert,active,partial,high,45 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.error-handling.empty-catch-block,06-code-quality/error-handling/empty-catch-block.yaml,Empty Catch Block Detection Audit,code-quality,06,error-handling,expert,active,full,high,25 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.error-handling.error-message-quality,06-code-quality/error-handling/error-message-quality.yaml,Error Message Quality Assessment Audit,code-quality,06,error-handling,expert,active,partial,medium,35 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.error-handling.error-type-hierarchy,06-code-quality/error-handling/error-type-hierarchy.yaml,Error Type Hierarchy Assessment Audit,code-quality,06,error-handling,expert,active,partial,medium,40 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.error-handling.exception-granularity,06-code-quality/error-handling/exception-granularity.yaml,Exception Granularity Assessment Audit,code-quality,06,error-handling,expert,active,partial,high,40 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.error-handling.exception-swallowing,06-code-quality/error-handling/exception-swallowing.yaml,Exception Swallowing Detection Audit,code-quality,06,error-handling,expert,active,partial,high,30 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.error-handling.fail-fast-pattern,06-code-quality/error-handling/fail-fast-pattern.yaml,Fail-Fast Pattern Assessment Audit,code-quality,06,error-handling,expert,active,partial,high,35 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.idioms.anti-pattern-detection,06-code-quality/idioms/anti-pattern-detection.yaml,Anti-Pattern Detection Audit,code-quality,06,idioms,phd,active,partial,high,90 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.idioms.deprecated-api-usage,06-code-quality/idioms/deprecated-api-usage.yaml,Deprecated API Usage Audit,code-quality,06,idioms,expert,active,yes,high,45 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.idioms.framework-best-practice,06-code-quality/idioms/framework-best-practice.yaml,Framework Best Practice Audit,code-quality,06,idioms,phd,active,partial,high,90 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.idioms.idiomatic-code,06-code-quality/idioms/idiomatic-code.yaml,Idiomatic Code Audit,code-quality,06,idioms,expert,active,partial,medium,60 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.idioms.modern-syntax-adoption,06-code-quality/idioms/modern-syntax-adoption.yaml,Modern Syntax Adoption Audit,code-quality,06,idioms,expert,active,yes,medium,45 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.idioms.standard-library-usage,06-code-quality/idioms/standard-library-usage.yaml,Standard Library Usage Audit,code-quality,06,idioms,expert,active,partial,medium,45 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.maintainability.change-frequency,06-code-quality/maintainability/change-frequency.yaml,Change Frequency Audit,code-quality,06,maintainability,expert,active,full,medium,30 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.maintainability.code-churn,06-code-quality/maintainability/code-churn.yaml,Code Churn Audit,code-quality,06,maintainability,expert,active,full,medium,30 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.maintainability.cognitive-complexity,06-code-quality/maintainability/cognitive-complexity.yaml,Cognitive Complexity Audit,code-quality,06,maintainability,expert,active,full,high,45 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.maintainability.cohesion,06-code-quality/maintainability/cohesion.yaml,Cohesion Analysis Audit,code-quality,06,maintainability,expert,active,partial,high,1 hour,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.maintainability.comment-ratio,06-code-quality/maintainability/comment-ratio.yaml,Comment Ratio Audit,code-quality,06,maintainability,expert,active,full,low,30 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.maintainability.coupling,06-code-quality/maintainability/coupling.yaml,Coupling Analysis Audit,code-quality,06,maintainability,expert,active,partial,high,1 hour,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.maintainability.cyclomatic-complexity,06-code-quality/maintainability/cyclomatic-complexity.yaml,Cyclomatic Complexity Audit,code-quality,06,maintainability,expert,active,full,high,45 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.maintainability.dependency-depth,06-code-quality/maintainability/dependency-depth.yaml,Dependency Depth Audit,code-quality,06,maintainability,expert,active,full,medium,45 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.maintainability.file-length,06-code-quality/maintainability/file-length.yaml,File Length Audit,code-quality,06,maintainability,expert,active,full,medium,30 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.maintainability.function-length,06-code-quality/maintainability/function-length.yaml,Function Length Audit,code-quality,06,maintainability,expert,active,full,medium,30 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.maintainability.hotspot-analysis,06-code-quality/maintainability/hotspot-analysis.yaml,Hotspot Analysis Audit,code-quality,06,maintainability,expert,active,partial,high,1 hour,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.maintainability.naming-convention,06-code-quality/maintainability/naming-convention.yaml,Naming Convention Audit,code-quality,06,maintainability,expert,active,full,low,30 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.readability.boolean-expression-clarity,06-code-quality/readability/boolean-expression-clarity.yaml,Boolean Expression Clarity Audit,code-quality,06,readability,expert,active,partial,medium,25 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.readability.code-formatting-consistency,06-code-quality/readability/code-formatting-consistency.yaml,Code Formatting Consistency Audit,code-quality,06,readability,expert,active,full,low,20 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.readability.control-flow-clarity,06-code-quality/readability/control-flow-clarity.yaml,Control Flow Clarity Audit,code-quality,06,readability,expert,active,partial,medium,30 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.readability.function-name-descriptiveness,06-code-quality/readability/function-name-descriptiveness.yaml,Function Name Descriptiveness Audit,code-quality,06,readability,expert,active,partial,medium,30 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.readability.magic-number-string,06-code-quality/readability/magic-number-string.yaml,Magic Numbers and Strings Audit,code-quality,06,readability,expert,active,partial,medium,25 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.readability.naming-convention,06-code-quality/readability/naming-convention.yaml,Naming Convention Compliance Audit,code-quality,06,readability,expert,active,partial,medium,30 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.readability.self-documenting-code,06-code-quality/readability/self-documenting-code.yaml,Self-Documenting Code Audit,code-quality,06,readability,expert,active,partial,medium,45 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.readability.variable-name-clarity,06-code-quality/readability/variable-name-clarity.yaml,Variable Name Clarity Audit,code-quality,06,readability,expert,active,partial,medium,25 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.static-analysis.code-complexity,06-code-quality/static-analysis/code-complexity.yaml,Code Complexity,code-quality,06,static-analysis,expert,active,yes,high,2-4 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.static-analysis.code-style-consistency,06-code-quality/static-analysis/code-style-consistency.yaml,Code Style Consistency,code-quality,06,static-analysis,expert,active,yes,low,1-2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.static-analysis.custom-rule-coverage,06-code-quality/static-analysis/custom-rule-coverage.yaml,Custom Rule Coverage,code-quality,06,static-analysis,expert,active,partial,medium,2-4 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.static-analysis.dead-code-detection,06-code-quality/static-analysis/dead-code-detection.yaml,Dead Code Detection,code-quality,06,static-analysis,expert,active,partial,medium,1-2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.static-analysis.dependency-vulnerability,06-code-quality/static-analysis/dependency-vulnerability.yaml,Dependency Vulnerability,code-quality,06,static-analysis,expert,active,yes,critical,1-2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.static-analysis.duplicate-code,06-code-quality/static-analysis/duplicate-code.yaml,Duplicate Code Detection,code-quality,06,static-analysis,expert,active,yes,medium,1-2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.static-analysis.false-positive-rate,06-code-quality/static-analysis/false-positive-rate.yaml,False Positive Rate,code-quality,06,static-analysis,expert,active,partial,medium,2-4 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.static-analysis.linting-coverage,06-code-quality/static-analysis/linting-coverage.yaml,Linting Coverage,code-quality,06,static-analysis,expert,active,yes,medium,1-2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.static-analysis.null-safety,06-code-quality/static-analysis/null-safety.yaml,Null Safety,code-quality,06,static-analysis,expert,active,partial,high,2-3 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.static-analysis.security-scanning,06-code-quality/static-analysis/security-scanning.yaml,Security Scanning,code-quality,06,static-analysis,phd,active,yes,critical,2-4 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.static-analysis.static-analysis-ci,06-code-quality/static-analysis/static-analysis-ci.yaml,Static Analysis CI,code-quality,06,static-analysis,expert,active,yes,high,1-2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.static-analysis.type-safety,06-code-quality/static-analysis/type-safety.yaml,Type Safety,code-quality,06,static-analysis,phd,active,yes,high,2-3 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.technical-debt.debt-impact-assessment,06-code-quality/technical-debt/debt-impact-assessment.yaml,Debt Impact Assessment Audit,code-quality,06,technical-debt,expert,active,partial,high,2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.technical-debt.debt-prevention,06-code-quality/technical-debt/debt-prevention.yaml,Debt Prevention Audit,code-quality,06,technical-debt,expert,active,partial,medium,1.5 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.technical-debt.debt-prioritization,06-code-quality/technical-debt/debt-prioritization.yaml,Debt Prioritization Audit,code-quality,06,technical-debt,expert,active,partial,medium,1.5 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.technical-debt.deprecation-management,06-code-quality/technical-debt/deprecation-management.yaml,Deprecation Management Audit,code-quality,06,technical-debt,expert,active,partial,medium,1.5 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.technical-debt.legacy-code-isolation,06-code-quality/technical-debt/legacy-code-isolation.yaml,Legacy Code Isolation Audit,code-quality,06,technical-debt,expert,active,partial,medium,2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.technical-debt.migration-completeness,06-code-quality/technical-debt/migration-completeness.yaml,Migration Completeness Audit,code-quality,06,technical-debt,expert,active,partial,high,2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.technical-debt.refactoring-backlog,06-code-quality/technical-debt/refactoring-backlog.yaml,Refactoring Backlog Audit,code-quality,06,technical-debt,expert,active,partial,medium,1.5 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.technical-debt.tech-debt-inventory,06-code-quality/technical-debt/tech-debt-inventory.yaml,Technical Debt Inventory Audit,code-quality,06,technical-debt,expert,active,partial,high,2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.technical-debt.tech-debt-tracking,06-code-quality/technical-debt/tech-debt-tracking.yaml,Technical Debt Tracking Audit,code-quality,06,technical-debt,expert,active,partial,high,1.5 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.technical-debt.tech-debt-velocity,06-code-quality/technical-debt/tech-debt-velocity.yaml,Technical Debt Velocity Audit,code-quality,06,technical-debt,expert,active,partial,medium,1.5 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.test-code-quality.arrange-act-assert-pattern,06-code-quality/test-code-quality/arrange-act-assert-pattern.yaml,Arrange-Act-Assert Pattern Audit,code-quality,06,test-code-quality,expert,active,partial,medium,30 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
code-quality.test-code-quality.assertion-quality,06-code-quality/test-code-quality/assertion-quality.yaml,Assertion Quality Audit,code-quality,06,test-code-quality,expert,active,partial,high,45 minutes,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,No,No
